CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES,CARS_PER_ACC,MILES_PER_ACC
C005234,0.085,2641.3333333333335,224.51333333333335,07-2A-256,CASCADE,07-2A-256,000+0.325,000+0.411,U-5234,23,114.84057971014494,9.76144927536232
C229008,0.27255738,73.0,19.896688740000002,20-1-029,GRANITE,20-1-029,000+0.000,000+0.273,R090E138ONA,2,36.5,9.948344370000001
C228356,0.249,40.25,10.02225,47-2-012,SILVER BOW,47-2-012,000+0.000,000+0.249,R015S099OFA,1,40.25,10.02225
C006038,0.49956923,303.0,151.36947669,32-3A-199,MISSOULA,32-3A-199,000+0.000,000+0.500,L-32-4566,15,20.2,10.091298446
C228981,0.22974213,44.0,10.10865372,32-3-069,MISSOULA,32-3-069,000+0.000,000+0.230,R090E077OFA,1,44.0,10.10865372
C228326,0.32,32.0,10.24,01-8-022,BEAVERHEAD,01-8-022,000+0.000,000+0.320,R015S000ONA,1,32.0,10.24
C228481,0.288,71.25,20.52,56-3-014,YELLOWSTONE,56-3-014,000+0.000,000+0.288,R094E014ONA,2,35.625,10.26
C229122,0.69069847,30.0,20.7209541,56-4-039,YELLOWSTONE,56-4-039,000+0.000,000+0.691,R090E456ONA,2,15.0,10.36047705
C228303,0.358,29.0,10.382,37-1-025,PONDERA,37-1-025,000+0.000,000+0.358,R015N352OFA,1,29.0,10.382
C229142,0.32296197,65.0,20.99252805,31-1-043,MINERAL,31-1-043,000+0.000,000+0.323,R090W037ONA,2,32.5,10.496264025
C228935,0.26261912,40.0,10.5047648,31-1-018,MINERAL,31-1-018,000+0.000,000+0.263,R090E025OFA,1,40.0,10.5047648
C001025,0.227,841.0,190.907,56-4A-207,YELLOWSTONE,56-4A-207,000+0.000,000+0.227,U-1025,18,46.72222222222222,10.605944444444445
C229205,0.274,78.75,21.5775,39-3-058,POWELL,39-3-058,000+0.000,000+0.274,R090W166ONA,2,39.375,10.78875
C228512,0.22966241,47.0,10.79413327,09-2-037,CUSTER,09-2-037,000+0.000,000+0.230,R094E126OFA,1,47.0,10.79413327
C228365,0.17898813,61.0,10.91827593,47-1-034,SILVER BOW,47-1-034,000+0.000,000+0.179,R015S119ONA,1,61.0,10.91827593
C003557,0.24579603,314.0,77.17995342,07-2A-207,CASCADE,07-2A-207,000+0.000,000+0.246,L-7-2857,7,44.857142857142854,11.025707631428572
C024302,1.004,11.0,11.044,090270U,LAKE,090270U,000+0.000,001+0.004,L-24-302,1,11.0,11.044
C005208,0.076,1746.0,132.696,07-2A-075,CASCADE,07-2A-075,000+0.620,000+0.696,N-124,12,145.5,11.058
C228270,0.318,35.0,11.13,07-3-030,CASCADE,07-3-030,000+0.000,000+0.318,R015N256OFA,1,35.0,11.13
C228524,0.27668427,41.0,11.34405507,09-2-018,CUSTER,09-2-018,000+0.000,000+0.277,R094E159OFA,1,41.0,11.34405507
C228590,0.323,35.25,11.38575,44-6-008,ROSEBUD,44-6-008,000+0.000,000+0.323,R094W117ONA,1,35.25,11.38575
C025139,1.221,47.75,58.30275,25-7B-061,LEWIS AND CLARK,25-7B-061,000+0.000,001+0.221,L-25-139,5,9.55,11.66055
C003971,0.70875554,429.0,304.05612665999996,07-2A-281,CASCADE,07-2A-281,000+0.000,000+0.709,L-7-3108,26,16.5,11.694466409999999
C073424,0.26974782,348.0,93.87224136,32-3A-103,MISSOULA,32-3A-103,000+0.537,000+0.806,L-32-4603,8,43.5,11.73403017
C229064,0.253,46.75,11.82775,16-3-080,GALLATIN,16-3-080,000+0.000,000+0.253,R090E316ONA,1,46.75,11.82775
C228434,0.15853562,75.0,11.8901715,07-1-023,CASCADE,07-1-023,000+0.000,000+0.159,R015S286OFA,1,75.0,11.8901715
C229090,0.183,65.0,11.895,48-2-041,STILLWATER,48-2-041,000+0.000,000+0.183,R090E396ONA,1,65.0,11.895
C228557,0.212,112.25,23.797,56-2-018,YELLOWSTONE,56-2-018,000+0.000,000+0.212,R094W006OFA,2,56.125,11.8985
C223620,0.387,1086.6666666666667,420.54,087462H,YELLOWSTONE,087462H,001+0.593,001+0.980,L-56-933,34,31.960784313725494,12.368823529411765
C229207,0.235,52.75,12.396249999999998,39-3-060,POWELL,39-3-060,000+0.000,000+0.235,R090W162ONA,1,52.75,12.396249999999998
C228418,0.29585974,42.0,12.42610908,07-3-043,CASCADE,07-3-043,000+0.000,000+0.296,R015S250OFA,1,42.0,12.42610908
C000237,0.113,330.0,37.29,14-6A-067,FERGUS,14-6A-067,001+0.112,001+0.225,S-237,3,110.0,12.43
C023005,0.343,36.333333333333336,12.462333333333335,088389R,FERGUS,088389R,011+0.918,012+0.260,L-14-398,1,36.333333333333336,12.462333333333335
C229204,0.255,49.25,12.55875,39-3-065,POWELL,39-3-065,000+0.000,000+0.255,R090W170OFA,1,49.25,12.55875
C003556,0.48878576,442.0,216.04330592,07-2A-249,CASCADE,07-2A-249,001+0.466,001+0.955,L-7-2856,17,26.0,12.70842976
C004309,0.46881136,463.0,217.05965968,25-7C-106,LEWIS AND CLARK,25-7C-106,000+0.000,000+0.469,L-25-2683,17,27.235294117647058,12.768215275294118
C224715,0.053,241.33333333333334,12.790666666666667,087363K,YELLOWSTONE,087363K,000+0.000,000+0.053,L-56-45,1,241.33333333333334,12.790666666666667
C229269,0.186,69.5,12.927,34-2-037,PARK,34-2-037,000+0.000,000+0.186,R090W324OFA,1,69.5,12.927
C042346,0.382,68.0,25.976,060887T,RICHLAND,060887T,000+0.000,000+0.382,L-42-346,2,34.0,12.988
C003556,0.486,1016.0,493.776,07-2A-216,CASCADE,07-2A-216,000+0.980,001+0.466,L-7-2856,38,26.736842105263158,12.994105263157895
C228181,0.24068116,54.0,12.996782640000001,01-6-019,BEAVERHEAD,01-6-019,000+0.000,000+0.241,R015N037ONA,1,54.0,12.996782640000001
C005706,0.074,1408.3333333333333,104.21666666666665,21-4A-039,HILL,21-4A-039,000+0.590,000+0.664,U-5706,8,176.04166666666666,13.027083333333332
C000063,0.014,1866.0,26.124,54-2-008,WHEATLAND,54-2-008,000+0.000,000+0.014,N-63,2,933.0,13.062
C245984,0.5,26.333333333333332,13.166666666666666,398586K,FERGUS,398586K,000+0.000,000+0.500,L-14-1524,1,26.333333333333332,13.166666666666666
C001021,0.0719351,1664.0,119.7000064,56-4A-252,YELLOWSTONE,56-4A-252,000+0.000,000+0.072,U-1021,9,184.88888888888889,13.300000711111112
C229233,0.24884024,107.0,26.62590568,22-4-018,JEFFERSON,22-4-018,000+0.000,000+0.249,R090W267OFA,2,53.5,13.31295284
C228439,0.31961702,42.0,13.423914839999998,07-2-055,CASCADE,07-2-055,000+0.000,000+0.320,R015S297ONA,1,42.0,13.423914839999998
C000503,0.013,3108.3333333333335,40.40833333333333,15-7B-069,FLATHEAD,15-7B-069,011+0.876,011+0.889,U-6730,3,1036.111111111111,13.469444444444443
C247158,0.296,91.33333333333333,27.034666666666663,087367M,YELLOWSTONE,087367M,002+0.451,002+0.748,L-56-4738,2,45.666666666666664,13.517333333333331
C005965,0.092,1328.0,122.176,32-3A-112,MISSOULA,32-3A-112,001+0.175,001+0.267,L-32-811,9,147.55555555555554,13.575111111111111
C008102,0.12,8954.25,1074.51,32-3A-122,MISSOULA,32-3A-122,001+0.844,001+0.964,U-8102,79,113.34493670886076,13.60139240506329
C003571,1.562,253.0,395.18600000000004,088526V,CASCADE,088526V,000+0.000,001+0.562,L-7-2863,29,8.724137931034482,13.627103448275863
C228171,0.31277232,44.0,13.76198208,01-8-021,BEAVERHEAD,01-8-021,000+0.000,000+0.313,R015N000ONA,1,44.0,13.76198208
C005226,0.0776308,3209.0,249.1172372,07-2A-117,CASCADE,07-2A-117,001+0.829,001+0.906,U-5226,18,178.27777777777777,13.839846511111112
C220306,0.135,102.66666666666667,13.860000000000001,091521P,POWELL,091521P,000+0.000,000+0.135,L-39-37,1,102.66666666666667,13.860000000000001
C228496,0.24776807,56.0,13.87501192,52-1-020,TREASURE,52-1-020,000+0.000,000+0.248,R094E072OFA,1,56.0,13.87501192
C005236,0.085,1972.6666666666667,167.67666666666668,07-2A-259,CASCADE,07-2A-259,000+0.732,000+0.818,U-5236,12,164.38888888888889,13.973055555555556
C228943,0.21981941,64.0,14.06844224,31-1-028,MINERAL,31-1-028,000+0.000,000+0.220,R090E022OFA,1,64.0,14.06844224
C229011,0.245,115.0,28.175,32-4-011,MISSOULA,32-4-011,000+0.000,000+0.245,R090E130OFA,2,57.5,14.0875
C000359,0.11993261,823.0,98.70453803,22-4-005,JEFFERSON,22-4-005,001+0.043,001+0.163,S-359,7,117.57142857142857,14.100648289999999
C220018,1.072,26.333333333333332,28.229333333333333,906484W,BEAVERHEAD,906484W,000+0.742,001+0.814,L-1-278,2,13.166666666666666,14.114666666666666
C003565,0.254,1622.0,411.988,07-2A-284,CASCADE,07-2A-284,000+0.000,000+0.254,L-7-2862,29,55.93103448275862,14.20648275862069
C228196,0.293,48.5,14.2105,01-4-016,BEAVERHEAD,01-4-016,000+0.000,000+0.293,R015N074ONA,1,48.5,14.2105
C005224,0.076,2439.25,185.38299999999998,07-2A-236,CASCADE,07-2A-236,000+0.382,000+0.458,U-5224,13,187.6346153846154,14.260230769230768
C006079,0.21089284,1226.0,258.55462184,32-3A-294,MISSOULA,32-3A-294,000+0.167,000+0.378,L-32-4312,18,68.11111111111111,14.364145657777776
C228272,0.237,183.0,43.370999999999995,07-1-032,CASCADE,07-1-032,000+0.000,000+0.237,R015N270OFA,3,61.0,14.456999999999999
C005706,0.07398323,1384.0,102.39279031999999,21-4A-039,HILL,21-4A-039,000+0.516,000+0.590,U-5706,7,197.71428571428572,14.627541474285712
C006716,0.07355373,2194.0,161.37688362,15-7C-084,FLATHEAD,15-7C-084,000+0.277,000+0.351,U-6716,11,199.45454545454547,14.670625783636364
C228535,0.348,42.5,14.79,11-4-010,DAWSON,11-4-010,000+0.000,000+0.348,R094E198ONA,1,42.5,14.79
C229103,0.31652328,47.0,14.876594160000002,49-3-022,SWEET GRASS,49-3-022,000+0.000,000+0.317,R090E362ONA,1,47.0,14.876594160000002
C008111,0.144,1552.3333333333333,223.53599999999997,32-3A-224,MISSOULA,32-3A-224,000+0.138,000+0.283,U-8111,15,103.48888888888888,14.902399999999998
C006715,0.07283494,1437.0,104.66380878,15-7C-025,FLATHEAD,15-7C-025,000+0.753,000+0.826,U-6715,7,205.28571428571428,14.951972682857143
C027462,0.321,47.0,15.087,059206S,LINCOLN,059206S,000+0.000,000+0.321,L-27-462,1,47.0,15.087
C229028,0.24784667,61.0,15.11864687,22-4-016,JEFFERSON,22-4-016,000+0.000,000+0.248,R090E267OFA,1,61.0,15.11864687
C005470,0.31660364,48.0,15.19697472,27-3A-031,LINCOLN,27-3A-031,000+0.240,000+0.556,L-27-1498,1,48.0,15.19697472
