CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000090A,56-4A-333,443+0.138,445+0.539,I-90,90,2.401,30457.0,73127.257,,YELLOWSTONE,,I-90,Interstate,18.0,1692.0555555555557,4062.6253888888887
C000090A,56-4A-334,446+0.403,446+0.867,I-90,25,0.464,32023.75,14859.02,,YELLOWSTONE,,I-90,Interstate,5.0,6404.75,2971.804
C000090A,56-4B-001,426+0.365,429+0.213,I-90,53,2.846,15159.0,43142.514,,STILLWATER,,I-90,Interstate,10.6,1430.0943396226417,4070.0484905660383
C000090A,56-4B-001,429+0.213,432+0.252,I-90,39,3.038,16288.0,49482.944,,YELLOWSTONE,,I-90,Interstate,7.8,2088.2051282051284,6343.967179487179
C000090A,56-4B-002,432+0.252,434+0.157,I-90,40,1.883,19198.0,36149.834,,YELLOWSTONE,,I-90,Interstate,8.0,2399.75,4518.72925
C000090A,56-4B-003,434+0.157,437+0.234,I-90,79,3.077,22204.0,68321.708,,YELLOWSTONE,,I-90,Interstate,15.8,1405.3164556962024,4324.158734177215
C000090A,A-030,042+0.792,047+0.321,I-90,89,4.556,7437.0,33882.972,,MINERAL,,I-90,Interstate,17.8,417.80898876404495,1903.537752808989
C000090A,A-057,530+0.302,543+0.732,I-90,51,13.453,4025.0,54148.325,,BIG HORN,,I-90,Interstate,10.2,394.6078431372549,5308.65931372549
C000090A,A-059,446+0.867,449+0.870,I-90,92,2.998,27985.0,83899.03000000001,,YELLOWSTONE,,I-90,Interstate,18.4,1520.9239130434785,4559.729891304349
C000090A,W-104,278+0.056,283+0.040,I-90,130,4.926,19524.0,96175.224,,GALLATIN,,I-90,Interstate,26.0,750.9230769230769,3699.047076923077
C000090A,W-104,283+0.040,288+0.502,I-90,122,5.478,18464.25,101147.1615,,GALLATIN,,I-90,Interstate,24.4,756.7315573770492,4145.375471311476
C000090A,W-120,408+0.636,426+0.365,I-90,300,17.784,12321.0,219116.664,,STILLWATER,,I-90,Interstate,60.0,205.35,3651.9444
C000090A,W-121,113+0.648,120+0.660,I-90,159,6.869,11252.0,77289.988,,MISSOULA,,I-90,Interstate,31.8,353.8364779874214,2430.5027672955976
